,Name,Entry Number,Timestamp,Total Time,Status
74,USPQwhGeqQ,,"['11:00:14,2020-09-26 12:30:59,01:30:45']",01:30:45,Present
75,UUxYVGTxOK_0379PCP2600,0379PCP2600,"['11:16:55,11:48:32,00:31:37', '11:48:46,11:49:33,00:00:47']",00:32:24,Absent
76,UcxWyYwyFa_0813WOQ1692,0813WOQ1692,"['10:56:12,10:56:34,00:00:22']",00:00:22,Absent
77,UeJjSpwZLA_1513KOY7146,1513KOY7146,"['11:02:03,2020-09-26 12:30:59,01:28:56']",01:28:56,Present
78,UeJsCAgqnS,,"['11:04:31,11:04:45,00:00:14']",00:00:14,Absent
79,UgLqknAWhi_4611RBN0922,4611RBN0922,"['10:57:08,10:59:05,00:01:57', '10:59:05,12:21:52,01:22:47']",01:24:44,Present
80,UqAsVrvsLx_8820IDD9154,8820IDD9154,"['11:05:59,11:06:25,00:00:26', '11:06:40,11:51:48,00:45:08', '11:57:55,2020-09-26 12:30:59,00:33:04']",01:18:38,Present
81,VEMdKyOqDI_1596QYK5980,1596QYK5980,"['12:21:14,12:25:10,00:03:56']",00:03:56,Absent
82,VRKtrVxKdq_4043IIH9092,4043IIH9092,"['10:57:44,10:59:04,00:01:20', '10:59:04,11:55:52,00:56:48', '11:59:19,12:24:53,00:25:34']",01:23:42,Present
83,VVlIdmomUf,,"['11:32:42,12:24:26,00:51:44']",00:51:44,Present
84,VwwoahpPrh_9707CGK2887,9707CGK2887,"['11:06:32,11:23:56,00:17:24']",00:17:24,Absent
85,WUXctleqoq_9403KPN9735,9403KPN9735,"['11:02:11,2020-09-26 12:30:59,01:28:48']",01:28:48,Present
86,WUnvJEiCOH_9775AQZ4584,9775AQZ4584,"['11:01:49,11:01:58,00:00:09', '11:01:58,11:03:24,00:01:26', '11:03:28,12:25:03,01:21:35']",01:23:10,Present
87,XfjuMvPiGH_6480RLZ0003,6480RLZ0003,"['11:31:47,11:41:58,00:10:11', '11:59:31,12:04:22,00:04:51']",00:15:02,Absent
88,XrdoVkqQJb,,"['10:59:31,12:25:00,01:25:29']",01:25:29,Present
89,XxgDQeCROq_6669QCN5561,6669QCN5561,"['11:00:46,12:24:38,01:23:52']",01:23:52,Present
90,YNJYwtiWHu,,"['11:11:15,2020-09-26 12:30:59,01:19:44']",01:19:44,Present
91,YRkZrewLFT_0139LYY5530,0139LYY5530,"['11:01:01,11:01:13,00:00:12', '11:01:13,12:24:29,01:23:16']",01:23:28,Present
92,YeLgPIQCsf_0280SMO2195,0280SMO2195,"['11:16:33,11:18:41,00:02:08']",00:02:08,Absent
93,YhwIyNZMmy_3834WVK8283,3834WVK8283,"['11:00:22,12:24:41,01:24:19']",01:24:19,Present
94,YqvMZqAztJ_5950GOU3946,5950GOU3946,"['10:59:19,12:24:23,01:25:04']",01:25:04,Present
